iso2c,iso3c,country,date,indicator_id,value
GB,GBR,United Kingdom,2018,EN.CLC.HEAT.XD,0
GB,GBR,United Kingdom,2019,EN.CLC.HEAT.XD,0
GB,GBR,United Kingdom,2020,EN.CLC.HEAT.XD,0
GB,GBR,United Kingdom,2018,AG.LND.PRCP.MM,1220
GB,GBR,United Kingdom,2019,AG.LND.PRCP.MM,1220
GB,GBR,United Kingdom,2020,AG.LND.PRCP.MM,1220
GB,GBR,United Kingdom,2021,AG.LND.PRCP.MM,1220
GB,GBR,United Kingdom,2018,SP.URB.TOTL.IN.ZS,83.398
GB,GBR,United Kingdom,2019,SP.URB.TOTL.IN.ZS,83.652
GB,GBR,United Kingdom,2020,SP.URB.TOTL.IN.ZS,83.903
GB,GBR,United Kingdom,2021,SP.URB.TOTL.IN.ZS,84.152
GB,GBR,United Kingdom,2022,SP.URB.TOTL.IN.ZS,84.398
GB,GBR,United Kingdom,2018,EG.ELC.ACCS.ZS,100
GB,GBR,United Kingdom,2019,EG.ELC.ACCS.ZS,100
GB,GBR,United Kingdom,2020,EG.ELC.ACCS.ZS,100
GB,GBR,United Kingdom,2021,EG.ELC.ACCS.ZS,100
GB,GBR,United Kingdom,2022,EG.ELC.ACCS.ZS,100
GB,GBR,United Kingdom,2018,ER.LND.PTLD.ZS,28.683437277978
GB,GBR,United Kingdom,2019,ER.LND.PTLD.ZS,28.7
GB,GBR,United Kingdom,2020,ER.LND.PTLD.ZS,28.7
GB,GBR,United Kingdom,2021,ER.LND.PTLD.ZS,27.8
GB,GBR,United Kingdom,2022,ER.LND.PTLD.ZS,27.8
