date,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,city_name
2018-01-01,7.6,4.7,5.74,0.89,London
2018-01-02,11.58,2.99,6.25,4.94,London
2018-01-03,11.17,5.48,7.41,1.15,London
2018-01-04,11.52,3.65,6.96,6.06,London
2018-01-05,7.44,3.02,5.03,1.82,London
2018-01-06,4.7,1.16,2.75,0.98,London
2018-01-07,4.84,-0.26,1.42,0.02,London
2018-01-08,4.9,-0.29,2.6,0.18,London
2018-01-09,6.55,2.69,4.51,0.57,London
2018-01-10,8.48,4.37,6.18,1.69,London
2018-01-11,6.38,2.8,4.82,1.07,London
2018-01-12,7.29,4.27,5.28,0.57,London
2018-01-13,6.39,2.9,4.62,0.22,London
2018-01-14,6.35,0.59,3.11,0.05,London
2018-01-15,10.59,4.38,6.92,7.13,London
2018-01-16,5.95,1.8,4.04,0.44,London
2018-01-17,6.07,1.42,3.44,2.72,London
2018-01-18,9.98,1.59,5.85,1.85,London
2018-01-19,5.57,0.65,2.36,0.2,London
2018-01-20,4.48,0.15,2.02,8.16,London
2018-01-21,8.65,-0.53,2.67,11.19,London
2018-01-22,9.24,3.82,6,0.09,London
2018-01-23,10.89,4.35,8.51,1.42,London
2018-01-24,11.64,5.28,9.12,6.56,London
2018-01-25,8.47,4.4,6.13,0.39,London
2018-01-26,6.33,2.04,4.2,0.3,London
2018-01-27,9.32,1.25,5.72,1.95,London
2018-01-28,12.61,7.95,10.16,0.36,London
2018-01-29,10.71,0.29,7.17,0.68,London
2018-01-30,8.9,-1,3.68,0.42,London
2018-01-31,8.89,1.26,5.47,4.42,London
2018-02-01,6.54,1.17,3.32,1.05,London
2018-02-02,6.73,0.57,2.72,0.51,London
2018-02-03,3.73,0.11,1.7,2.97,London
2018-02-04,5.03,-1.47,1.34,0.36,London
2018-02-05,4.08,-1.75,0.12,0.5,London
2018-02-06,3.61,-3.65,-0.46,0.1,London
2018-02-07,4.4,-3.56,-0.39,0.23,London
2018-02-08,6.42,-3.65,1.61,0.24,London
2018-02-09,5.31,-1.4,2.94,8.2,London
2018-02-10,9.01,-2.19,3.47,3.96,London
2018-02-11,9.11,-0.13,3.84,0.36,London
2018-02-12,6.12,-2.34,1.38,0.07,London
2018-02-13,4.42,0.36,2.61,2.01,London
2018-02-14,5.93,-1.3,2.58,7.52,London
2018-02-15,8.94,0.85,5.79,0.18,London
2018-02-16,8.84,-0.4,3.03,0.03,London
2018-02-17,9.32,-0.22,3.62,0.03,London
2018-02-18,9.19,1.61,5.21,0.25,London
2018-02-19,9.89,4.78,7.23,3.98,London
2018-02-20,9.33,3.48,6.39,2.2,London
2018-02-21,7.04,0.21,2.97,0.22,London
2018-02-22,5.73,-1.76,1.34,0.05,London
2018-02-23,4.73,-3.06,-0.06,0,London
2018-02-24,4.5,-3.29,0.2,0,London
2018-02-25,3.53,-2.94,-0.55,0,London
2018-02-26,0.99,-2.77,-1.37,0.26,London
2018-02-27,0.33,-3.56,-2.12,1.28,London
2018-02-28,-1.93,-4.25,-3.29,0.77,London
2018-03-01,-0.43,-4.44,-2.43,1.41,London
2018-03-02,0.06,-1.77,-1.11,2.22,London
2018-03-03,4.08,0.21,1.71,1.45,London
2018-03-04,7.56,0,3.13,7.82,London
2018-03-05,9.55,2.4,5.3,0.73,London
2018-03-06,9.37,2.12,5.26,0.74,London
2018-03-07,8.66,2.06,4.23,6.22,London
2018-03-08,8.35,1.85,5.3,5.24,London
2018-03-09,10.48,1.38,6.02,6.55,London
2018-03-10,12.22,5.7,8.87,5.21,London
2018-03-11,13.08,5.34,8.28,3.35,London
2018-03-12,10.62,4.25,7.57,4.73,London
2018-03-13,10.88,2.47,5.83,0.56,London
2018-03-14,12.01,2.54,7.36,0.47,London
2018-03-15,11.19,5.78,7.88,6.28,London
2018-03-16,12.29,4.24,7.83,0.42,London
2018-03-17,4.2,-1.32,0.54,2.17,London
2018-03-18,1.2,-1.44,-0.31,1.54,London
2018-03-19,2.91,-2.91,-0.23,0.06,London
2018-03-20,8,-2.08,2.32,0.22,London
2018-03-21,9.5,-2.36,3.57,0.03,London
2018-03-22,11.17,2.75,6.17,0.15,London
2018-03-23,11.35,4.69,7.11,0.76,London
2018-03-24,9.26,4.78,6.63,1.3,London
2018-03-25,12.12,3.4,7.52,0.12,London
2018-03-26,11.61,0.34,6.25,0.02,London
2018-03-27,12.63,4.62,7.36,4.57,London
2018-03-28,6.63,1.06,4.14,11.1,London
2018-03-29,7.84,1.33,4.64,6.5,London
2018-03-30,9.17,4.34,5.95,9.74,London
2018-03-31,8.19,3.71,5.39,1.72,London
2018-04-01,8.58,2.97,5.31,3.29,London
2018-04-02,9.86,3.51,7.52,12.16,London
2018-04-03,12.13,6.55,9.07,1.29,London
2018-04-04,11.64,5.16,8.67,2.15,London
2018-04-05,11.65,1.16,5.96,0.05,London
2018-04-06,14.49,3.34,8.29,0,London
2018-04-07,15.25,5.76,10.26,2.13,London
2018-04-08,12.09,6.45,8.97,4.31,London
2018-04-09,10.53,6.51,8.1,6.18,London
2018-04-10,14.91,5.98,9.98,5.54,London
2018-04-11,12.86,6.91,9.48,3.2,London
2018-04-12,12.3,6.29,8.87,1.5,London
2018-04-13,11.98,5.37,8.33,1.43,London
2018-04-14,16.96,7.12,11.2,0.15,London
2018-04-15,14.5,7.18,10.29,0.91,London
2018-04-16,14.69,7.29,10.17,0.08,London
2018-04-17,17.11,7.24,12.22,0.01,London
2018-04-18,21.54,8.52,14.61,0.01,London
2018-04-19,25.19,8.43,16.68,0,London
2018-04-20,23.46,9.73,16.33,0.01,London
2018-04-21,22.02,8.09,14.91,0.09,London
2018-04-22,20.8,8.78,15.12,1.53,London
2018-04-23,15.01,6.87,10.86,0.3,London
2018-04-24,13.17,9.17,11.23,1.91,London
2018-04-25,13.43,6.34,9.71,1.05,London
2018-04-26,13,5.11,9.08,0.32,London
2018-04-27,11.92,6.68,8.82,9.25,London
2018-04-28,10.04,6.35,8.1,2.67,London
2018-04-29,8.36,5.11,6.67,2.41,London
2018-04-30,6.67,3.72,5.21,17.36,London
2018-05-01,13.38,1.4,7.75,0.02,London
2018-05-02,13.27,3.82,8.73,5.34,London
2018-05-03,15.9,2.87,9.65,0.01,London
2018-05-04,19.29,5.21,12.5,0,London
2018-05-05,20.1,6.19,12.8,0,London
2018-05-06,22.51,5.63,14.43,0,London
2018-05-07,24.35,8.72,16.25,0,London
2018-05-08,23.54,9.06,16.05,0.01,London
2018-05-09,18.95,7.65,13.54,0.04,London
2018-05-10,15.73,8.19,11.91,1.05,London
2018-05-11,17.02,5.17,11.86,0.33,London
2018-05-12,15.46,7.03,10.88,13.53,London
2018-05-13,16.98,7.03,11.4,0.1,London
