iso2c,iso3c,country,date,EN.CLC.HEAT.XD,unit,obs_status,footnote,last_updated,AG.LND.PRCP.MM,SP.URB.TOTL.IN.ZS,EG.ELC.ACCS.ZS,ER.LND.PTLD.ZS
US,USA,United States,2020,1.29,NA,NA,NA,2024-04-16,NA,NA,NA,NA
US,USA,United States,2021,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
US,USA,United States,2022,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
US,USA,United States,2020,NA,NA,NA,NA,2025-06-05,715,NA,NA,NA
US,USA,United States,2021,NA,NA,NA,NA,2025-06-05,715,NA,NA,NA
US,USA,United States,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,NA
US,USA,United States,2020,NA,NA,NA,NA,2025-06-05,NA,82.664,NA,NA
US,USA,United States,2021,NA,NA,NA,NA,2025-06-05,NA,82.873,NA,NA
US,USA,United States,2022,NA,NA,NA,NA,2025-06-05,NA,83.084,NA,NA
US,USA,United States,2020,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
US,USA,United States,2021,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
US,USA,United States,2022,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
US,USA,United States,2020,NA,NA,NA,NA,2025-06-05,NA,NA,NA,11.8
US,USA,United States,2021,NA,NA,NA,NA,2025-06-05,NA,NA,NA,13
US,USA,United States,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,13
