iso2c,iso3c,country,date,indicator_id,value
US,USA,United States,2020,EN.CLC.HEAT.XD,1.29
US,USA,United States,2020,AG.LND.PRCP.MM,715
US,USA,United States,2021,AG.LND.PRCP.MM,715
US,USA,United States,2020,SP.URB.TOTL.IN.ZS,82.664
US,USA,United States,2021,SP.URB.TOTL.IN.ZS,82.873
US,USA,United States,2022,SP.URB.TOTL.IN.ZS,83.084
US,USA,United States,2020,EG.ELC.ACCS.ZS,100
US,USA,United States,2021,EG.ELC.ACCS.ZS,100
US,USA,United States,2022,EG.ELC.ACCS.ZS,100
US,USA,United States,2020,ER.LND.PTLD.ZS,11.8
US,USA,United States,2021,ER.LND.PTLD.ZS,13
US,USA,United States,2022,ER.LND.PTLD.ZS,13
