date,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,city_name
2020-01-01,17.52,6.73,10.99,0,Los Angeles
2020-01-02,19.18,6.82,11.51,0,Los Angeles
2020-01-03,21.28,9.59,14.2,0,Los Angeles
2020-01-04,18.7,9.53,13.31,0,Los Angeles
2020-01-05,19.2,7.73,12.24,0,Los Angeles
2020-01-06,22.15,8.74,13.4,0,Los Angeles
2020-01-07,20.96,9.01,13.8,0,Los Angeles
2020-01-08,16.43,6.64,10.55,0.01,Los Angeles
2020-01-09,13.02,5.4,8.45,0.32,Los Angeles
2020-01-10,17.23,5.08,10.07,0,Los Angeles
2020-01-11,15.2,5.74,9.89,0,Los Angeles
2020-01-12,15.84,3.86,9.09,0,Los Angeles
2020-01-13,14.81,5.78,9.56,0,Los Angeles
2020-01-14,15.88,5.07,9.83,0,Los Angeles
2020-01-15,16.53,4.43,9.87,0,Los Angeles
2020-01-16,13.46,7.1,9.56,6,Los Angeles
2020-01-17,15.4,4.87,9.47,0.51,Los Angeles
2020-01-18,19.02,5.84,11.06,0,Los Angeles
2020-01-19,21.82,8.77,13.99,0,Los Angeles
2020-01-20,16.71,10.78,12.86,0.6,Los Angeles
2020-01-21,14.04,9.25,11.12,0.32,Los Angeles
2020-01-22,17.74,8.81,12.18,0.02,Los Angeles
2020-01-23,22.15,9.41,14.69,0,Los Angeles
2020-01-24,22.57,11.13,15.06,0,Los Angeles
2020-01-25,21.45,9.71,14.72,0,Los Angeles
2020-01-26,16.79,9.35,12.52,0.01,Los Angeles
2020-01-27,21.5,8,13.43,0,Los Angeles
2020-01-28,21.71,9.02,13.81,0,Los Angeles
2020-01-29,18.01,7.99,12.09,0.01,Los Angeles
2020-01-30,21.59,8.01,13.81,0,Los Angeles
2020-01-31,24.43,10.38,15.7,0,Los Angeles
2020-02-01,26.58,11.05,17.38,0,Los Angeles
2020-02-02,19.71,7.1,14.94,0.08,Los Angeles
2020-02-03,12.77,4.21,7.59,0,Los Angeles
2020-02-04,12.85,2.56,6.55,0,Los Angeles
2020-02-05,16.21,2.59,8.92,0,Los Angeles
2020-02-06,18.34,6.34,11.09,0,Los Angeles
2020-02-07,21.2,8.11,13.53,0.09,Los Angeles
2020-02-08,19.06,10.56,13.51,0.14,Los Angeles
2020-02-09,13.86,8.46,10.94,3.01,Los Angeles
2020-02-10,18.66,8.31,12.2,0.48,Los Angeles
2020-02-11,19.35,8.53,12.74,0,Los Angeles
2020-02-12,16.7,8.03,11.74,0,Los Angeles
2020-02-13,18.96,8.05,12.32,0,Los Angeles
2020-02-14,18.98,8.3,12.57,0,Los Angeles
2020-02-15,19.59,8.61,13.15,0,Los Angeles
2020-02-16,21,9.59,14.28,0,Los Angeles
2020-02-17,21.85,7.75,13.9,0,Los Angeles
2020-02-18,20.65,10.4,13.9,0,Los Angeles
2020-02-19,19.81,8.15,13.44,0.01,Los Angeles
2020-02-20,22.19,9.48,15.51,0,Los Angeles
2020-02-21,22.22,10.96,15.38,0.04,Los Angeles
2020-02-22,14.43,10.14,11.73,2,Los Angeles
2020-02-23,18.27,10.07,12.67,0.18,Los Angeles
2020-02-24,22.3,7.45,14.11,0.03,Los Angeles
2020-02-25,25.33,11.68,16.71,0,Los Angeles
2020-02-26,23.97,9.79,15.79,0,Los Angeles
2020-02-27,25.81,11.07,17.46,0,Los Angeles
2020-02-28,25.74,12.19,18.12,0,Los Angeles
2020-02-29,19.83,10.29,14.26,0.09,Los Angeles
2020-03-01,14.16,7.09,10.84,1.24,Los Angeles
2020-03-02,18.22,6.37,11.68,0.48,Los Angeles
2020-03-03,23.95,8.61,15.67,0,Los Angeles
2020-03-04,21.51,10.68,14.98,0.01,Los Angeles
2020-03-05,22.75,10.92,16.53,0,Los Angeles
2020-03-06,21.09,10.27,15.19,0.05,Los Angeles
2020-03-07,14.49,9.34,11.2,0.68,Los Angeles
2020-03-08,15.92,8.65,11.45,0.03,Los Angeles
2020-03-09,19.28,8.23,13.12,1.97,Los Angeles
2020-03-10,18.39,11.33,13.96,10.38,Los Angeles
2020-03-11,19.03,11.17,14.39,1.37,Los Angeles
2020-03-12,16.44,11.04,13.05,53.24,Los Angeles
2020-03-13,14.98,9.72,11.94,11.49,Los Angeles
2020-03-14,15.29,11.06,12.5,4.52,Los Angeles
2020-03-15,15.24,9.63,11.77,1.83,Los Angeles
2020-03-16,14.5,7.38,10.97,16,Los Angeles
2020-03-17,13.26,6.04,9.15,0.52,Los Angeles
2020-03-18,16.31,5.42,10.29,0.2,Los Angeles
2020-03-19,12.58,7.19,9.6,3.15,Los Angeles
2020-03-20,14.75,8.22,11.4,0.6,Los Angeles
2020-03-21,17.04,9.51,12.58,0.04,Los Angeles
2020-03-22,16.92,9.12,12.65,20.41,Los Angeles
2020-03-23,15.81,8.63,11.99,3.32,Los Angeles
2020-03-24,15.11,8.91,11.71,0.97,Los Angeles
2020-03-25,14.64,6.96,10.44,1.06,Los Angeles
2020-03-26,14.1,4.86,8.9,0.25,Los Angeles
2020-03-27,16.13,3.44,9.94,0.02,Los Angeles
2020-03-28,15.54,6.68,11.11,0.02,Los Angeles
2020-03-29,16.6,7.91,12.08,0.05,Los Angeles
2020-03-30,21.14,6.87,13.79,0,Los Angeles
2020-03-31,21.52,10.4,15.65,0,Los Angeles
2020-04-01,21.46,11.89,15.9,0.06,Los Angeles
2020-04-02,19.82,10.39,14.45,0.07,Los Angeles
2020-04-03,19.49,7.67,13.09,0,Los Angeles
2020-04-04,17.83,10.55,13.12,0.32,Los Angeles
2020-04-05,15.09,10.37,12.18,6.14,Los Angeles
2020-04-06,13.79,9.05,11.4,29.39,Los Angeles
2020-04-07,17.24,7.16,11.85,13.79,Los Angeles
2020-04-08,12.3,8.55,10.01,5.15,Los Angeles
2020-04-09,10.89,8.12,9.36,25.42,Los Angeles
