iso2c,iso3c,country,date,EN.CLC.HEAT.XD,unit,obs_status,footnote,last_updated,AG.LND.PRCP.MM,SP.URB.TOTL.IN.ZS,EG.ELC.ACCS.ZS,ER.LND.PTLD.ZS
IN,IND,India,2018,51.05,NA,NA,NA,2024-04-16,NA,NA,NA,NA
IN,IND,India,2019,59.68,NA,NA,NA,2024-04-16,NA,NA,NA,NA
IN,IND,India,2020,56.3,NA,NA,NA,2024-04-16,NA,NA,NA,NA
IN,IND,India,2021,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
IN,IND,India,2022,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
IN,IND,India,2018,NA,NA,NA,NA,2025-06-05,1083,NA,NA,NA
IN,IND,India,2019,NA,NA,NA,NA,2025-06-05,1083,NA,NA,NA
IN,IND,India,2020,NA,NA,NA,NA,2025-06-05,1083,NA,NA,NA
IN,IND,India,2021,NA,NA,NA,NA,2025-06-05,1083,NA,NA,NA
IN,IND,India,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,NA
IN,IND,India,2018,NA,NA,NA,NA,2025-06-05,NA,34.03,NA,NA
IN,IND,India,2019,NA,NA,NA,NA,2025-06-05,NA,34.472,NA,NA
IN,IND,India,2020,NA,NA,NA,NA,2025-06-05,NA,34.926,NA,NA
IN,IND,India,2021,NA,NA,NA,NA,2025-06-05,NA,35.393,NA,NA
IN,IND,India,2022,NA,NA,NA,NA,2025-06-05,NA,35.872,NA,NA
IN,IND,India,2018,NA,NA,NA,NA,2025-06-05,NA,NA,95.7,NA
IN,IND,India,2019,NA,NA,NA,NA,2025-06-05,NA,NA,95.9,NA
IN,IND,India,2020,NA,NA,NA,NA,2025-06-05,NA,NA,96.5,NA
IN,IND,India,2021,NA,NA,NA,NA,2025-06-05,NA,NA,99.6,NA
IN,IND,India,2022,NA,NA,NA,NA,2025-06-05,NA,NA,99.2,NA
IN,IND,India,2018,NA,NA,NA,NA,2025-06-05,NA,NA,NA,5.96651940171319
IN,IND,India,2019,NA,NA,NA,NA,2025-06-05,NA,NA,NA,6
IN,IND,India,2020,NA,NA,NA,NA,2025-06-05,NA,NA,NA,6
IN,IND,India,2021,NA,NA,NA,NA,2025-06-05,NA,NA,NA,7.5
IN,IND,India,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,7.5
