iso2c,iso3c,country,date,indicator_id,value
IN,IND,India,2018,EN.CLC.HEAT.XD,51.05
IN,IND,India,2019,EN.CLC.HEAT.XD,59.68
IN,IND,India,2020,EN.CLC.HEAT.XD,56.3
IN,IND,India,2018,AG.LND.PRCP.MM,1083
IN,IND,India,2019,AG.LND.PRCP.MM,1083
IN,IND,India,2020,AG.LND.PRCP.MM,1083
IN,IND,India,2021,AG.LND.PRCP.MM,1083
IN,IND,India,2018,SP.URB.TOTL.IN.ZS,34.03
IN,IND,India,2019,SP.URB.TOTL.IN.ZS,34.472
IN,IND,India,2020,SP.URB.TOTL.IN.ZS,34.926
IN,IND,India,2021,SP.URB.TOTL.IN.ZS,35.393
IN,IND,India,2022,SP.URB.TOTL.IN.ZS,35.872
IN,IND,India,2018,EG.ELC.ACCS.ZS,95.7
IN,IND,India,2019,EG.ELC.ACCS.ZS,95.9
IN,IND,India,2020,EG.ELC.ACCS.ZS,96.5
IN,IND,India,2021,EG.ELC.ACCS.ZS,99.6
IN,IND,India,2022,EG.ELC.ACCS.ZS,99.2
IN,IND,India,2018,ER.LND.PTLD.ZS,5.96651940171319
IN,IND,India,2019,ER.LND.PTLD.ZS,6
IN,IND,India,2020,ER.LND.PTLD.ZS,6
IN,IND,India,2021,ER.LND.PTLD.ZS,7.5
IN,IND,India,2022,ER.LND.PTLD.ZS,7.5
