date,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,city_name
2018-01-01,29.48,15.44,21.26,0,Mumbai
2018-01-02,29.7,14.18,21.03,0,Mumbai
2018-01-03,30.4,15.16,21.48,0,Mumbai
2018-01-04,30.07,16.79,21.93,0,Mumbai
2018-01-05,29.72,15.6,21.45,0,Mumbai
2018-01-06,28.49,15.04,20.59,0,Mumbai
2018-01-07,28.2,14.43,20.3,0,Mumbai
2018-01-08,29.07,14.25,20.64,0,Mumbai
2018-01-09,30.15,15.04,22.1,0,Mumbai
2018-01-10,31.1,16.29,22.85,0,Mumbai
2018-01-11,32.82,17.6,24.17,0,Mumbai
2018-01-12,33.12,19.52,25.31,0,Mumbai
2018-01-13,33.44,19.72,25.79,0,Mumbai
2018-01-14,34.31,19.91,26.15,0,Mumbai
2018-01-15,34.66,21.46,26.62,0,Mumbai
2018-01-16,34.3,20.11,26.19,0,Mumbai
2018-01-17,33.63,20.49,25.75,0,Mumbai
2018-01-18,33.51,18.22,24.61,0,Mumbai
2018-01-19,32.82,17.19,23.89,0,Mumbai
2018-01-20,32.6,16.86,23.78,0,Mumbai
2018-01-21,33,16.76,23.7,0.05,Mumbai
2018-01-22,31.63,16.29,23.06,0.57,Mumbai
2018-01-23,29.57,16.89,22.01,1.46,Mumbai
2018-01-24,29.95,14.76,21.36,0,Mumbai
2018-01-25,31.02,13.56,21.33,0,Mumbai
2018-01-26,31.84,14.14,21.81,0,Mumbai
2018-01-27,31.72,14.64,22,0,Mumbai
2018-01-28,31.35,15.72,22.29,0,Mumbai
2018-01-29,33.44,15.53,23.37,0,Mumbai
2018-01-30,33.8,16.12,23.97,0,Mumbai
2018-01-31,34.5,16.64,24.4,0,Mumbai
2018-02-01,34.51,16.34,24.35,0,Mumbai
2018-02-02,34.5,16.61,24.1,0.07,Mumbai
2018-02-03,34.24,17.22,24.38,0,Mumbai
2018-02-04,34.45,17.64,24.72,0,Mumbai
2018-02-05,35.3,17.87,25.1,0.87,Mumbai
2018-02-06,31.41,18.64,23.88,4.02,Mumbai
2018-02-07,32.91,20.51,25.06,0.87,Mumbai
2018-02-08,31.68,17.68,23.84,0.07,Mumbai
2018-02-09,31.73,16.82,23.75,0,Mumbai
2018-02-10,31.75,18.67,24.02,0.01,Mumbai
2018-02-11,30.83,17.12,23.02,0.48,Mumbai
2018-02-12,30.19,17.17,22.77,0,Mumbai
2018-02-13,32.49,15.78,22.95,0,Mumbai
2018-02-14,35.06,16.66,25.56,0,Mumbai
