iso2c,iso3c,country,date,EN.CLC.HEAT.XD,unit,obs_status,footnote,last_updated,AG.LND.PRCP.MM,SP.URB.TOTL.IN.ZS,EG.ELC.ACCS.ZS,ER.LND.PTLD.ZS
BR,BRA,Brazil,2018,0.74,NA,NA,NA,2024-04-16,NA,NA,NA,NA
BR,BRA,Brazil,2019,0.71,NA,NA,NA,2024-04-16,NA,NA,NA,NA
BR,BRA,Brazil,2020,0.32,NA,NA,NA,2024-04-16,NA,NA,NA,NA
BR,BRA,Brazil,2021,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
BR,BRA,Brazil,2022,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
BR,BRA,Brazil,2018,NA,NA,NA,NA,2025-06-05,1761,NA,NA,NA
BR,BRA,Brazil,2019,NA,NA,NA,NA,2025-06-05,1761,NA,NA,NA
BR,BRA,Brazil,2020,NA,NA,NA,NA,2025-06-05,1761,NA,NA,NA
BR,BRA,Brazil,2021,NA,NA,NA,NA,2025-06-05,1761,NA,NA,NA
BR,BRA,Brazil,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,NA
BR,BRA,Brazil,2018,NA,NA,NA,NA,2025-06-05,NA,86.569,NA,NA
BR,BRA,Brazil,2019,NA,NA,NA,NA,2025-06-05,NA,86.824,NA,NA
BR,BRA,Brazil,2020,NA,NA,NA,NA,2025-06-05,NA,87.073,NA,NA
BR,BRA,Brazil,2021,NA,NA,NA,NA,2025-06-05,NA,87.317,NA,NA
BR,BRA,Brazil,2022,NA,NA,NA,NA,2025-06-05,NA,87.555,NA,NA
BR,BRA,Brazil,2018,NA,NA,NA,NA,2025-06-05,NA,NA,99.7,NA
BR,BRA,Brazil,2019,NA,NA,NA,NA,2025-06-05,NA,NA,99.8,NA
BR,BRA,Brazil,2020,NA,NA,NA,NA,2025-06-05,NA,NA,99.7,NA
BR,BRA,Brazil,2021,NA,NA,NA,NA,2025-06-05,NA,NA,99.5,NA
BR,BRA,Brazil,2022,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
BR,BRA,Brazil,2018,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.4196676737717
BR,BRA,Brazil,2019,NA,NA,NA,NA,2025-06-05,NA,NA,NA,30.3
BR,BRA,Brazil,2020,NA,NA,NA,NA,2025-06-05,NA,NA,NA,30.3
BR,BRA,Brazil,2021,NA,NA,NA,NA,2025-06-05,NA,NA,NA,30.3
BR,BRA,Brazil,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,30.3
