iso2c,iso3c,country,date,indicator_id,value
BR,BRA,Brazil,2018,EN.CLC.HEAT.XD,0.74
BR,BRA,Brazil,2019,EN.CLC.HEAT.XD,0.71
BR,BRA,Brazil,2020,EN.CLC.HEAT.XD,0.32
BR,BRA,Brazil,2018,AG.LND.PRCP.MM,1761
BR,BRA,Brazil,2019,AG.LND.PRCP.MM,1761
BR,BRA,Brazil,2020,AG.LND.PRCP.MM,1761
BR,BRA,Brazil,2021,AG.LND.PRCP.MM,1761
BR,BRA,Brazil,2018,SP.URB.TOTL.IN.ZS,86.569
BR,BRA,Brazil,2019,SP.URB.TOTL.IN.ZS,86.824
BR,BRA,Brazil,2020,SP.URB.TOTL.IN.ZS,87.073
BR,BRA,Brazil,2021,SP.URB.TOTL.IN.ZS,87.317
BR,BRA,Brazil,2022,SP.URB.TOTL.IN.ZS,87.555
BR,BRA,Brazil,2018,EG.ELC.ACCS.ZS,99.7
BR,BRA,Brazil,2019,EG.ELC.ACCS.ZS,99.8
BR,BRA,Brazil,2020,EG.ELC.ACCS.ZS,99.7
BR,BRA,Brazil,2021,EG.ELC.ACCS.ZS,99.5
BR,BRA,Brazil,2022,EG.ELC.ACCS.ZS,100
BR,BRA,Brazil,2018,ER.LND.PTLD.ZS,29.4196676737717
BR,BRA,Brazil,2019,ER.LND.PTLD.ZS,30.3
BR,BRA,Brazil,2020,ER.LND.PTLD.ZS,30.3
BR,BRA,Brazil,2021,ER.LND.PTLD.ZS,30.3
BR,BRA,Brazil,2022,ER.LND.PTLD.ZS,30.3
