iso2c,iso3c,country,date,indicator_id,value,indicator_category
BR,BRA,Brazil,2018,NV.AGR.TOTL.ZS,4.42039930378329,Economic
BR,BRA,Brazil,2018,NV.IND.MANF.ZS,10.5284573768575,Economic
BR,BRA,Brazil,2018,NV.SRV.TOTL.ZS,62.653350352313,Economic
BR,BRA,Brazil,2018,NY.GDP.MKTP.CD,1916933898038.36,Economic
BR,BRA,Brazil,2018,NY.GDP.PCAP.CD,9300.66164936497,Economic
BR,BRA,Brazil,2018,NY.GDP.PCAP.PP.CD,15463.7426396097,Economic
BR,BRA,Brazil,2018,SE.ADT.LITR.FE.ZS,93,Education
BR,BRA,Brazil,2018,SE.ENR.TERT.FM.ZS,1.26388001441956,Education
BR,BRA,Brazil,2018,SG.GEN.PARL.ZS,15.009746588694,Rights
BR,BRA,Brazil,2018,SH.STA.MMRT,62,Health
BR,BRA,Brazil,2018,SL.TLF.CACT.FE.ZS,54.581,Employment
BR,BRA,Brazil,2018,SL.TLF.CACT.FM.ZS,72.8903193066332,Employment
BR,BRA,Brazil,2018,SL.UEM.TOTL.FE.ZS,14.417,Employment
BR,BRA,Brazil,2018,SP.ADO.TFRT,54.287,Health
BR,BRA,Brazil,2018,SP.DYN.LE00.FE.IN,78.977,Health
BR,BRA,Brazil,2019,NV.AGR.TOTL.ZS,4.2050140943502,Economic
BR,BRA,Brazil,2019,NV.IND.MANF.ZS,10.3325005322006,Economic
BR,BRA,Brazil,2019,NV.SRV.TOTL.ZS,63.0678492464134,Economic
BR,BRA,Brazil,2019,NY.GDP.MKTP.CD,1873288205186.45,Economic
BR,BRA,Brazil,2019,NY.GDP.PCAP.CD,9029.83326742175,Economic
BR,BRA,Brazil,2019,NY.GDP.PCAP.PP.CD,16069.8380163501,Economic
BR,BRA,Brazil,2019,SE.ENR.TERT.FM.ZS,1.27127003669739,Education
BR,BRA,Brazil,2019,SG.GEN.PARL.ZS,15.009746588694,Rights
BR,BRA,Brazil,2019,SH.STA.MMRT,65,Health
