date,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,city_name
2018-01-01,29.58,19.41,24.27,0.49,Sao Paulo
2018-01-02,25.18,20.72,22.61,2.4,Sao Paulo
2018-01-03,27.36,18.47,22.27,9.49,Sao Paulo
2018-01-04,28.02,16.93,21.48,0.13,Sao Paulo
2018-01-05,28.63,16.01,21.61,0.03,Sao Paulo
2018-01-06,27.71,18.37,22.36,2.84,Sao Paulo
2018-01-07,22.5,17.55,19.83,9.92,Sao Paulo
2018-01-08,22.34,18.18,19.88,8.6,Sao Paulo
2018-01-09,24.51,17.83,20.59,6.11,Sao Paulo
2018-01-10,26.64,18.96,22.29,2.93,Sao Paulo
2018-01-11,25.51,18.82,21.7,5.32,Sao Paulo
2018-01-12,23.14,18.25,20.46,5.81,Sao Paulo
2018-01-13,25.84,17.51,21.41,1.52,Sao Paulo
2018-01-14,25.56,18.83,21.93,7.02,Sao Paulo
2018-01-15,25.87,17.95,21.75,2.76,Sao Paulo
2018-01-16,27.65,19.2,22.92,1.19,Sao Paulo
2018-01-17,26.91,19.08,22.63,1.5,Sao Paulo
2018-01-18,27.2,20.28,23.31,1.89,Sao Paulo
2018-01-19,27.12,19.79,22.96,7.28,Sao Paulo
2018-01-20,27.39,19.68,22.78,7.81,Sao Paulo
2018-01-21,28.23,19.21,23.3,1.22,Sao Paulo
2018-01-22,30.72,19.48,24.91,2.52,Sao Paulo
2018-01-23,30.09,20.4,25.25,12.02,Sao Paulo
2018-01-24,28.57,21.06,24.45,6.36,Sao Paulo
2018-01-25,27.6,19.77,22.87,2.37,Sao Paulo
2018-01-26,27.56,18.87,22.25,0.68,Sao Paulo
2018-01-27,26.67,18.05,21.18,0.59,Sao Paulo
2018-01-28,29.04,17.93,22.96,3.61,Sao Paulo
2018-01-29,28.27,20.61,23.7,18.11,Sao Paulo
2018-01-30,25,16.76,20.42,24.2,Sao Paulo
2018-01-31,25.93,15.9,20.13,2.57,Sao Paulo
2018-02-01,26.65,16.38,20.76,0.16,Sao Paulo
2018-02-02,27.05,17.32,21.39,0.13,Sao Paulo
2018-02-03,26.68,15.38,20.48,0.12,Sao Paulo
2018-02-04,26.38,14.1,19.66,0.21,Sao Paulo
2018-02-05,23.77,16.64,19.56,0.27,Sao Paulo
2018-02-06,25.85,17.07,20.38,1.38,Sao Paulo
2018-02-07,28.66,15.63,21.42,0.06,Sao Paulo
2018-02-08,30.47,15.41,22.76,0,Sao Paulo
2018-02-09,32.42,16.7,24.69,0,Sao Paulo
