iso2c,iso3c,country,date,EN.CLC.HEAT.XD,unit,obs_status,footnote,last_updated,AG.LND.PRCP.MM,SP.URB.TOTL.IN.ZS,EG.ELC.ACCS.ZS,ER.LND.PTLD.ZS
JP,JPN,Japan,2018,2.49,NA,NA,NA,2024-04-16,NA,NA,NA,NA
JP,JPN,Japan,2019,1.81,NA,NA,NA,2024-04-16,NA,NA,NA,NA
JP,JPN,Japan,2020,2.33,NA,NA,NA,2024-04-16,NA,NA,NA,NA
JP,JPN,Japan,2021,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
JP,JPN,Japan,2022,NA,NA,NA,NA,2024-04-16,NA,NA,NA,NA
JP,JPN,Japan,2018,NA,NA,NA,NA,2025-06-05,1668,NA,NA,NA
JP,JPN,Japan,2019,NA,NA,NA,NA,2025-06-05,1668,NA,NA,NA
JP,JPN,Japan,2020,NA,NA,NA,NA,2025-06-05,1668,NA,NA,NA
JP,JPN,Japan,2021,NA,NA,NA,NA,2025-06-05,1668,NA,NA,NA
JP,JPN,Japan,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,NA
JP,JPN,Japan,2018,NA,NA,NA,NA,2025-06-05,NA,91.616,NA,NA
JP,JPN,Japan,2019,NA,NA,NA,NA,2025-06-05,NA,91.698,NA,NA
JP,JPN,Japan,2020,NA,NA,NA,NA,2025-06-05,NA,91.782,NA,NA
JP,JPN,Japan,2021,NA,NA,NA,NA,2025-06-05,NA,91.867,NA,NA
JP,JPN,Japan,2022,NA,NA,NA,NA,2025-06-05,NA,91.955,NA,NA
JP,JPN,Japan,2018,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
JP,JPN,Japan,2019,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
JP,JPN,Japan,2020,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
JP,JPN,Japan,2021,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
JP,JPN,Japan,2022,NA,NA,NA,NA,2025-06-05,NA,NA,100,NA
JP,JPN,Japan,2018,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.3875386330145
JP,JPN,Japan,2019,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.4
JP,JPN,Japan,2020,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.4
JP,JPN,Japan,2021,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.7
JP,JPN,Japan,2022,NA,NA,NA,NA,2025-06-05,NA,NA,NA,29.7
