iso2c,iso3c,country,date,indicator_id,value
JP,JPN,Japan,2018,EN.CLC.HEAT.XD,2.49
JP,JPN,Japan,2019,EN.CLC.HEAT.XD,1.81
JP,JPN,Japan,2020,EN.CLC.HEAT.XD,2.33
JP,JPN,Japan,2018,AG.LND.PRCP.MM,1668
JP,JPN,Japan,2019,AG.LND.PRCP.MM,1668
JP,JPN,Japan,2020,AG.LND.PRCP.MM,1668
JP,JPN,Japan,2021,AG.LND.PRCP.MM,1668
JP,JPN,Japan,2018,SP.URB.TOTL.IN.ZS,91.616
JP,JPN,Japan,2019,SP.URB.TOTL.IN.ZS,91.698
JP,JPN,Japan,2020,SP.URB.TOTL.IN.ZS,91.782
JP,JPN,Japan,2021,SP.URB.TOTL.IN.ZS,91.867
JP,JPN,Japan,2022,SP.URB.TOTL.IN.ZS,91.955
JP,JPN,Japan,2018,EG.ELC.ACCS.ZS,100
JP,JPN,Japan,2019,EG.ELC.ACCS.ZS,100
JP,JPN,Japan,2020,EG.ELC.ACCS.ZS,100
JP,JPN,Japan,2021,EG.ELC.ACCS.ZS,100
JP,JPN,Japan,2022,EG.ELC.ACCS.ZS,100
JP,JPN,Japan,2018,ER.LND.PTLD.ZS,29.3875386330145
JP,JPN,Japan,2019,ER.LND.PTLD.ZS,29.4
JP,JPN,Japan,2020,ER.LND.PTLD.ZS,29.4
JP,JPN,Japan,2021,ER.LND.PTLD.ZS,29.7
JP,JPN,Japan,2022,ER.LND.PTLD.ZS,29.7
