date,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,city_name
2018-01-01,9.38,-1.33,2.65,0,Tokyo
2018-01-02,8.11,-1.54,2.42,0,Tokyo
2018-01-03,4.71,-1.55,1.05,0.01,Tokyo
2018-01-04,5.95,-2.19,0.77,0,Tokyo
2018-01-05,3.59,-2.03,0.38,0.43,Tokyo
2018-01-06,8.02,-2.28,2.2,0,Tokyo
2018-01-07,8.3,-2.29,2.36,0.01,Tokyo
2018-01-08,10.62,1.79,4.71,22.74,Tokyo
2018-01-09,12.09,-0.43,7,8.19,Tokyo
2018-01-10,8.14,-1.05,2.51,0,Tokyo
2018-01-11,5.91,-2.89,0.84,0,Tokyo
2018-01-12,4.59,-4.12,-0.5,0,Tokyo
2018-01-13,5.75,-2.99,0.74,0.01,Tokyo
2018-01-14,5.82,-2.21,1.07,0,Tokyo
2018-01-15,8.95,-0.44,3.39,0,Tokyo
2018-01-16,11.03,1.17,4.88,0,Tokyo
2018-01-17,12.44,3.34,9.47,18.03,Tokyo
2018-01-18,12.96,1.15,6.37,0.04,Tokyo
2018-01-19,9.48,-0.03,3.96,0.01,Tokyo
2018-01-20,9.74,0.22,3.77,0.5,Tokyo
2018-01-21,10.94,-0.26,4.26,0,Tokyo
2018-01-22,1.09,-1.56,-0.21,17.66,Tokyo
2018-01-23,7.17,-3.67,0.81,0.08,Tokyo
2018-01-24,3.79,-5.36,-0.74,0,Tokyo
2018-01-25,1.34,-6.43,-3.25,0,Tokyo
2018-01-26,2.81,-5.72,-2.72,0,Tokyo
2018-01-27,4.56,-5.82,-1.79,0,Tokyo
2018-01-28,4.47,-5.26,-0.64,0,Tokyo
2018-01-29,7.93,-2.87,1.34,0,Tokyo
2018-01-30,4.56,-2.87,0.04,0.05,Tokyo
2018-01-31,7.36,-2.22,1.63,0,Tokyo
2018-02-01,3.82,-0.62,1.22,7.32,Tokyo
2018-02-02,3.07,-1.71,0.08,5.15,Tokyo
2018-02-03,5.59,-2.87,1.22,0.06,Tokyo
2018-02-04,7.15,-2.22,1.46,0,Tokyo
2018-02-05,5.74,-3.24,0.69,0,Tokyo
2018-02-06,4.81,-4.66,-0.22,0,Tokyo
2018-02-07,5.75,-5.57,-0.3,0,Tokyo
2018-02-08,5.08,-3.51,0.03,0,Tokyo
2018-02-09,7.74,-3.14,1.89,0,Tokyo
2018-02-10,10.3,-1.03,4.34,2.22,Tokyo
2018-02-11,12.5,-1.77,4.87,2.06,Tokyo
2018-02-12,5.87,-3.12,0.4,0,Tokyo
2018-02-13,6.54,-2.7,0.95,0,Tokyo
2018-02-14,8.95,-1.23,2.96,0,Tokyo
2018-02-15,12.74,-0.21,5.31,0,Tokyo
2018-02-16,8.36,-2.1,3.02,0,Tokyo
2018-02-17,10.17,-2.67,2.8,0,Tokyo
2018-02-18,6.6,-3.93,0.03,0,Tokyo
2018-02-19,8.32,-2.68,2.35,0,Tokyo
2018-02-20,10.73,-1.55,3.69,0,Tokyo
2018-02-21,5.58,-0.22,2.5,0.08,Tokyo
2018-02-22,4.54,-1.81,0.95,1.22,Tokyo
2018-02-23,9.71,-1.93,2.63,0.06,Tokyo
2018-02-24,12.08,0,5.24,0,Tokyo
2018-02-25,6.99,-1.85,2.38,0.01,Tokyo
2018-02-26,7.96,-0.13,2.63,0.03,Tokyo
2018-02-27,10.25,-0.76,4.22,0,Tokyo
2018-02-28,11.93,1.61,6.48,0.63,Tokyo
2018-03-01,16.12,3.03,10.94,43.32,Tokyo
2018-03-02,12.74,-0.16,5.25,0,Tokyo
2018-03-03,13.91,0.45,6.48,0,Tokyo
2018-03-04,17.82,3.5,10.56,0,Tokyo
2018-03-05,16.61,6.27,13.38,23.67,Tokyo
2018-03-06,11.21,-0.81,5.7,0.19,Tokyo
2018-03-07,7.31,-2.47,2.27,0.03,Tokyo
2018-03-08,13.61,0.98,4.74,44.37,Tokyo
2018-03-09,15.93,3.36,11.03,41.87,Tokyo
2018-03-10,11.21,1.32,5.5,2.48,Tokyo
2018-03-11,13.36,1.16,6.04,0,Tokyo
2018-03-12,14.3,-1.03,6.83,0,Tokyo
2018-03-13,16.36,0.63,8.48,0,Tokyo
2018-03-14,20.11,3.67,11.71,0,Tokyo
2018-03-15,18.53,7.57,12.97,0.01,Tokyo
2018-03-16,15.33,3.14,10.37,4.17,Tokyo
2018-03-17,10.8,-1.02,4.68,0.09,Tokyo
2018-03-18,14.73,3.63,9.2,0,Tokyo
2018-03-19,16.54,8.26,11.84,1.03,Tokyo
2018-03-20,8.94,3.94,5.54,9.83,Tokyo
2018-03-21,4,1.23,2.63,32.94,Tokyo
2018-03-22,13.05,4.31,7.03,16.32,Tokyo
2018-03-23,14.24,2.97,8.27,1.08,Tokyo
2018-03-24,12.79,4.79,8.21,0.82,Tokyo
2018-03-25,17.07,3.3,9.82,0.16,Tokyo
2018-03-26,19.57,5.29,12.05,0,Tokyo
2018-03-27,17.83,6.1,11.7,0,Tokyo
2018-03-28,20.82,8.43,13.87,0,Tokyo
2018-03-29,22.04,8.73,15.07,0,Tokyo
2018-03-30,15.29,4.83,9.75,0,Tokyo
2018-03-31,15.8,2.47,9.32,0,Tokyo
2018-04-01,19.13,6.62,12.98,0,Tokyo
2018-04-02,21.48,10.56,15.35,0,Tokyo
2018-04-03,22,10.16,15.4,0,Tokyo
2018-04-04,23.56,10.94,16.97,0,Tokyo
2018-04-05,15.57,6.75,11.24,0.33,Tokyo
2018-04-06,19.01,11.5,15.95,4.76,Tokyo
2018-04-07,18.06,5.04,13.54,1.74,Tokyo
2018-04-08,13.72,2.45,8.34,0,Tokyo
2018-04-09,16.19,2.01,9.51,0,Tokyo
2018-04-10,16.49,3.7,9.99,0,Tokyo
2018-04-11,18.35,6.65,14.08,0.85,Tokyo
2018-04-12,23.91,11.24,16.84,0.28,Tokyo
2018-04-13,17.61,6.23,11.32,0,Tokyo
2018-04-14,15.99,7.43,12.9,3.85,Tokyo
2018-04-15,23.02,7.59,17.09,13.4,Tokyo
2018-04-16,17.86,5.74,11.92,0.25,Tokyo
2018-04-17,13.97,9.41,11.48,6.47,Tokyo
2018-04-18,17.29,10.51,12.82,19.59,Tokyo
2018-04-19,20.48,10.62,14.53,0,Tokyo
2018-04-20,22.95,9.78,16.21,0,Tokyo
2018-04-21,24.63,9.95,16.91,0,Tokyo
2018-04-22,26.07,13.13,19.05,0,Tokyo
2018-04-23,19.57,11.55,15.56,0.09,Tokyo
2018-04-24,19.24,12.75,16.2,10.35,Tokyo
2018-04-25,25.84,13.91,19.31,36.66,Tokyo
2018-04-26,21.75,9.75,15.75,0.01,Tokyo
2018-04-27,20.12,11.47,15.85,0,Tokyo
2018-04-28,23.65,10.7,16.45,0,Tokyo
2018-04-29,22.11,10.86,16.35,0,Tokyo
2018-04-30,21.28,12.23,16.49,0,Tokyo
2018-05-01,26.04,11.92,18.39,0,Tokyo
2018-05-02,23.4,13.53,17.98,9.18,Tokyo
2018-05-03,24.74,13.87,19.61,11.97,Tokyo
2018-05-04,19.92,9.43,14.74,0.49,Tokyo
2018-05-05,22.19,7.98,15.18,0,Tokyo
2018-05-06,24.44,11.76,17.94,0.02,Tokyo
2018-05-07,20.98,11.63,17.14,9.66,Tokyo
2018-05-08,14.51,10.24,12.23,13.8,Tokyo
2018-05-09,14.88,6.84,10.46,34.84,Tokyo
2018-05-10,17.51,8.33,12.24,3.1,Tokyo
2018-05-11,20.13,6.89,13.79,0,Tokyo
2018-05-12,22.91,10.89,16.96,0,Tokyo
2018-05-13,21.5,13.24,17,43.58,Tokyo
2018-05-14,25.11,13.52,18.85,0.87,Tokyo
2018-05-15,25.22,13.34,19.32,0,Tokyo
2018-05-16,26.22,15.21,20.44,0,Tokyo
2018-05-17,29.35,17.72,23.3,0,Tokyo
2018-05-18,27.5,19.39,22.85,0.04,Tokyo
2018-05-19,25.76,10.52,19.64,1.14,Tokyo
2018-05-20,19.42,9.05,14.06,0,Tokyo
2018-05-21,23.36,12.35,17.48,0,Tokyo
2018-05-22,23.93,13.35,18.11,0,Tokyo
2018-05-23,19.83,13.45,16.99,10.72,Tokyo
2018-05-24,25.84,14.22,19.86,4.24,Tokyo
2018-05-25,26.09,15.81,20.82,0,Tokyo
2018-05-26,22.64,14.61,18.41,0.02,Tokyo
2018-05-27,25.65,13.42,19.29,0.04,Tokyo
2018-05-28,24.77,16.74,19.83,0.01,Tokyo
2018-05-29,25.28,15.59,20.35,0,Tokyo
2018-05-30,23.19,16.21,19.67,9.08,Tokyo
2018-05-31,22.94,15.51,18.78,3.04,Tokyo
2018-06-01,24.41,14.25,19.19,0.31,Tokyo
2018-06-02,24.92,15.04,19.59,0.06,Tokyo
2018-06-03,25.87,15.32,20.38,0,Tokyo
2018-06-04,25.97,15.72,20.62,0,Tokyo
2018-06-05,26.29,14.81,20.66,0,Tokyo
2018-06-06,21.59,17.59,19.13,7.07,Tokyo
2018-06-07,26.72,17.22,21.17,3.06,Tokyo
2018-06-08,26.79,16.49,21.94,4.34,Tokyo
2018-06-09,29.21,19.54,23.84,5.97,Tokyo
2018-06-10,21.95,18.41,19.81,20.12,Tokyo
2018-06-11,21.1,17.54,19.15,35.43,Tokyo
2018-06-12,28.2,17.4,22.83,1.78,Tokyo
2018-06-13,25.04,16.63,20.53,0.02,Tokyo
2018-06-14,22.29,15.21,18.67,0.4,Tokyo
2018-06-15,20.5,14.05,18.07,5.89,Tokyo
2018-06-16,18.3,12.79,15.09,3.26,Tokyo
2018-06-17,22.47,12.57,17.55,0.09,Tokyo
2018-06-18,20.96,16.3,18.82,7.52,Tokyo
2018-06-19,26.42,16.28,21.15,0.05,Tokyo
2018-06-20,25.05,18.04,21.15,45.18,Tokyo
2018-06-21,25,17.16,21.33,13.91,Tokyo
2018-06-22,25.41,16.96,21.51,0,Tokyo
2018-06-23,24.58,16.78,19.52,17.62,Tokyo
2018-06-24,26.39,17.44,21.22,8.59,Tokyo
2018-06-25,30.25,18.8,24.62,0,Tokyo
2018-06-26,28.5,18.94,23.38,0.01,Tokyo
2018-06-27,28.51,22.26,24.94,0.04,Tokyo
2018-06-28,28.7,22.58,25.23,0.41,Tokyo
2018-06-29,28.51,22.54,25.2,0.21,Tokyo
2018-06-30,28.43,22.75,25.13,0.08,Tokyo
2018-07-01,28.62,21.89,24.93,0.08,Tokyo
2018-07-02,31.24,20.81,25.73,0.01,Tokyo
2018-07-03,29.93,21.78,25.09,0.01,Tokyo
2018-07-04,27.43,22.3,24.72,3.97,Tokyo
2018-07-05,26.77,23.61,24.92,5.23,Tokyo
2018-07-06,27.17,22.66,24.37,29.87,Tokyo
2018-07-07,27.38,22.08,24.1,2.56,Tokyo
2018-07-08,28.76,22.36,25.05,0.27,Tokyo
2018-07-09,29.5,22.3,25.44,2.89,Tokyo
2018-07-10,30.52,22.06,25.98,2.19,Tokyo
2018-07-11,30.14,23.15,26.73,1.36,Tokyo
2018-07-12,28.17,22.49,25.23,11.56,Tokyo
2018-07-13,32.36,22.93,27.46,0,Tokyo
2018-07-14,32.79,23.46,27.94,0,Tokyo
2018-07-15,32.95,23.45,27.75,0.02,Tokyo
2018-07-16,33.28,24.26,28.08,0.04,Tokyo
2018-07-17,32.95,24.11,27.98,0,Tokyo
2018-07-18,34.1,24.66,28.89,0.08,Tokyo
2018-07-19,31.72,24.65,27.54,0.22,Tokyo
2018-07-20,31.8,24.45,27.4,0,Tokyo
2018-07-21,32.91,24.15,28.23,0,Tokyo
2018-07-22,34.94,24.96,29.76,0,Tokyo
2018-07-23,36.07,25.13,30.4,0,Tokyo
2018-07-24,33.76,24.17,28.56,0.15,Tokyo
2018-07-25,32.15,23.95,27.71,1.62,Tokyo
2018-07-26,30.34,20.99,25.41,0.81,Tokyo
2018-07-27,29.37,19.25,23.89,0.4,Tokyo
2018-07-28,27.89,19.57,23.87,71.4,Tokyo
2018-07-29,29.34,23.56,26.23,16.85,Tokyo
2018-07-30,29.77,22.14,25.85,0.05,Tokyo
2018-07-31,31.8,22.84,26.86,0.01,Tokyo
2018-08-01,33.83,23.23,28.48,0.27,Tokyo
2018-08-02,34.96,24.05,29.48,0.25,Tokyo
2018-08-03,34.25,24.69,28.97,0.08,Tokyo
2018-08-04,33.18,23.55,27.73,0.29,Tokyo
2018-08-05,35,24.56,28.96,0.29,Tokyo
2018-08-06,32.12,22.91,27.67,5.73,Tokyo
2018-08-07,29.08,20.69,24.12,6.1,Tokyo
2018-08-08,29.61,21.89,25.39,23.55,Tokyo
2018-08-09,32.89,23.9,27.7,5.19,Tokyo
2018-08-10,32.62,24.73,27.84,0.48,Tokyo
2018-08-11,31.84,24.29,27.61,3.71,Tokyo
2018-08-12,30.39,22.91,26.25,8.47,Tokyo
2018-08-13,30.9,24.34,27.25,6.58,Tokyo
2018-08-14,29.83,25.08,26.63,0.07,Tokyo
2018-08-15,31.16,24.63,26.78,3.77,Tokyo
2018-08-16,30.11,24.57,26.76,2.15,Tokyo
