date,temp_max_c,temp_min_c,temp_avg_c,precipitation_mm,city_name
2018-01-01,-6.05,-11.31,-8.6,0.04,New York
2018-01-02,-2.89,-8.39,-5.79,0.03,New York
2018-01-03,-0.1,-7.35,-3.87,0.28,New York
2018-01-04,0.26,-5.51,-2.88,58.13,New York
2018-01-05,-6.34,-9.94,-8.74,0.1,New York
2018-01-06,-8.85,-11.78,-10.02,0.17,New York
2018-01-07,-6.25,-13.54,-9.74,0.01,New York
2018-01-08,0.62,-6.08,-2.09,14.19,New York
2018-01-09,4,-1.18,0.91,0.03,New York
2018-01-10,4.2,-2.31,1.05,0.02,New York
2018-01-11,5.91,3.57,4.78,0.28,New York
2018-01-12,9.07,6.03,7.85,36.76,New York
2018-01-13,10,-4.68,1.85,13.48,New York
2018-01-14,-2.94,-6.65,-5.08,0,New York
2018-01-15,-0.86,-5.48,-3.3,0.2,New York
2018-01-16,4.06,-3.56,1.22,0.41,New York
2018-01-17,3.86,-4.83,0.57,7.45,New York
2018-01-18,0.59,-5.45,-2.96,0,New York
2018-01-19,2.58,-3.02,0.09,0,New York
2018-01-20,7.35,0.39,3.44,0,New York
2018-01-21,7.19,1.92,4.45,0.02,New York
2018-01-22,6.18,3.79,4.84,0.62,New York
2018-01-23,11.69,4.19,7.81,21.19,New York
2018-01-24,4.09,-2.03,2.09,0.02,New York
2018-01-25,0.96,-2.78,-1.15,0,New York
2018-01-26,1.8,-2.49,-0.17,0,New York
2018-01-27,7.78,1.85,4.66,0.02,New York
2018-01-28,7.86,4.23,6.23,7.9,New York
2018-01-29,5.19,0.39,3.11,1.54,New York
2018-01-30,2.2,-3.36,-0.29,2.59,New York
2018-01-31,0.86,-4.8,-2.13,0,New York
2018-02-01,4.18,1.22,2.86,6.83,New York
2018-02-02,2.8,-7,-2.21,15.73,New York
2018-02-03,-0.69,-7.46,-3.71,0,New York
2018-02-04,5.94,-0.35,3.22,28.95,New York
2018-02-05,2.74,-2.34,-0.2,0,New York
2018-02-06,2.99,-1.98,0.46,0.41,New York
2018-02-07,7.53,-0.24,2.6,18.96,New York
2018-02-08,0.83,-2.33,-0.91,0.08,New York
2018-02-09,3.64,-3.35,-0.1,0.07,New York
2018-02-10,6.2,3.76,5.02,10.74,New York
2018-02-11,9.07,4.33,6.73,38.03,New York
2018-02-12,9.03,-0.42,4.25,2.96,New York
2018-02-13,1.83,-2.6,-0.46,0,New York
2018-02-14,6.92,1.95,4.15,3.06,New York
2018-02-15,8.59,4.57,6.57,6.89,New York
2018-02-16,11.16,1.61,7.55,10.65,New York
2018-02-17,2.94,-1.15,1.09,12.27,New York
2018-02-18,5.08,0.78,2.63,0.54,New York
2018-02-19,7.07,1.95,5.29,9.29,New York
2018-02-20,12.58,6.57,9.08,1.23,New York
2018-02-21,14.34,8.53,11.18,0.93,New York
2018-02-22,8.04,2.34,5.07,7.66,New York
2018-02-23,4.95,2.24,3.67,9.4,New York
2018-02-24,9.87,4.81,6.78,1.63,New York
2018-02-25,6.23,4.67,5.41,44.43,New York
2018-02-26,7.91,3.49,5.59,0.07,New York
2018-02-27,8.78,1.37,4.92,0,New York
2018-02-28,9.54,3.18,6.26,0.1,New York
2018-03-01,9.54,5.54,7.11,11.17,New York
2018-03-02,5.19,2.16,2.76,39.31,New York
2018-03-03,5.9,2.42,3.8,0.53,New York
